season,round,constructorRef,constructorId,raceId,points_after_race,wins_after_race,position_after_race,positionText,constructorStandingsId,points,wins,position
1958,9,porsche,95,773,0.0,0,7,7,17832,0.0,0.0,7.0
1958,9,connaught,125,773,0.0,0,8,8,17830,0.0,0.0,8.0
1958,9,osca,127,773,0.0,0,9,9,17831,0.0,0.0,9.0
1958,10,vanwall,118,774,46.0,5,1,1,17838,41.0,4.0,1.0
1958,10,ferrari,6,774,40.0,2,2,2,17834,40.0,2.0,2.0
1958,10,cooper,87,774,31.0,2,3,3,17833,29.0,2.0,3.0
1958,10,brm,66,774,15.0,0,4,4,17836,15.0,0.0,4.0
1958,10,maserati,105,774,6.0,0,5,5,17835,6.0,0.0,5.0
1958,10,team_lotus,32,774,3.0,0,6,6,17837,3.0,0.0,6.0
1958,10,porsche,95,774,0.0,0,7,7,17841,0.0,0.0,7.0
1958,10,connaught,125,774,0.0,0,8,8,17839,0.0,0.0,8.0
1958,10,osca,127,774,0.0,0,9,9,17840,0.0,0.0,9.0
1958,11,vanwall,118,775,48.0,6,1,1,17847,46.0,5.0,1.0
1958,11,ferrari,6,775,40.0,2,2,2,17843,40.0,2.0,2.0
1958,11,cooper,87,775,31.0,2,3,3,17842,31.0,2.0,3.0
1958,11,brm,66,775,18.0,0,4,4,17845,15.0,0.0,4.0
1958,11,maserati,105,775,6.0,0,5,5,17844,6.0,0.0,5.0
1958,11,team_lotus,32,775,3.0,0,6,6,17846,3.0,0.0,6.0
1958,11,porsche,95,775,0.0,0,7,7,17850,0.0,0.0,7.0
1958,11,connaught,125,775,0.0,0,8,8,17848,0.0,0.0,8.0
1958,11,osca,127,775,0.0,0,9,9,17849,0.0,0.0,9.0
1959,1,cooper-climax,170,756,8.0,1,1,1,18840,0.0,0.0,0.0
1959,1,ferrari,6,756,6.0,0,2,2,18841,0.0,0.0,0.0
1959,1,cooper-maserati,167,756,0.0,0,3,3,18842,0.0,0.0,0.0
1959,1,brm,66,756,0.0,0,4,4,18843,0.0,0.0,0.0
1959,1,team_lotus,32,756,0.0,0,5,5,18844,0.0,0.0,0.0
1959,1,porsche,95,756,0.0,0,6,6,18845,0.0,0.0,0.0
1959,1,maserati,105,756,0.0,0,7,7,18846,0.0,0.0,0.0
1959,2,cooper-climax,170,757,8.0,1,1,1,18847,8.0,1.0,1.0
1959,2,ferrari,6,757,6.0,0,2,2,18848,6.0,0.0,2.0
1959,2,cooper-maserati,167,757,0.0,0,3,3,18849,0.0,0.0,3.0
1959,2,brm,66,757,0.0,0,4,4,18850,0.0,0.0,4.0
1959,2,team_lotus,32,757,0.0,0,5,5,18851,0.0,0.0,5.0
1959,2,porsche,95,757,0.0,0,6,6,18852,0.0,0.0,6.0
1959,2,maserati,105,757,0.0,0,7,7,18853,0.0,0.0,7.0
1959,3,cooper-climax,170,758,14.0,1,1,1,18854,8.0,1.0,1.0
1959,3,brm,66,758,8.0,1,2,2,18857,0.0,0.0,4.0
1959,3,ferrari,6,758,8.0,0,3,3,18855,6.0,0.0,2.0
1959,3,team_lotus,32,758,3.0,0,4,4,18858,0.0,0.0,5.0
1959,3,cooper-maserati,167,758,0.0,0,5,5,18856,0.0,0.0,3.0
1959,3,porsche,95,758,0.0,0,6,6,18859,0.0,0.0,6.0
1959,3,aston_martin,117,758,0.0,0,7,7,18861,0.0,0.0,0.0
1959,3,maserati,105,758,0.0,0,8,8,18860,0.0,0.0,7.0
1959,4,cooper-climax,170,759,18.0,1,1,1,18862,14.0,1.0,1.0
1959,4,ferrari,6,759,16.0,1,2,2,18863,8.0,0.0,3.0
1959,4,brm,66,759,8.0,1,3,3,18865,8.0,1.0,2.0
1959,4,team_lotus,32,759,3.0,0,4,4,18866,3.0,0.0,4.0
1959,4,cooper-maserati,167,759,0.0,0,5,5,18864,0.0,0.0,5.0
1959,4,maserati,105,759,0.0,0,6,6,18868,0.0,0.0,8.0
1959,4,porsche,95,759,0.0,0,7,7,18867,0.0,0.0,6.0
1959,4,aston_martin,117,759,0.0,0,8,8,18869,0.0,0.0,7.0
1959,5,cooper-climax,170,760,26.0,2,1,1,18870,18.0,1.0,1.0
1959,5,ferrari,6,760,16.0,1,2,2,18871,16.0,1.0,2.0
1959,5,brm,66,760,14.0,1,3,3,18873,8.0,1.0,3.0
1959,5,team_lotus,32,760,3.0,0,4,4,18874,3.0,0.0,4.0
1959,5,aston_martin,117,760,0.0,0,5,5,18877,0.0,0.0,8.0
1959,5,cooper-maserati,167,760,0.0,0,6,6,18872,0.0,0.0,5.0
1959,5,maserati,105,760,0.0,0,7,7,18876,0.0,0.0,6.0
1959,5,cooper-borgward,169,760,0.0,0,8,8,18878,0.0,0.0,0.0
1959,5,porsche,95,760,0.0,0,9,9,18875,0.0,0.0,7.0
1959,5,jbw,101,760,0.0,0,10,10,18879,0.0,0.0,0.0
